"table_schema","table_name","column_name","data_type","column_default","is_nullable"
"auth","audit_log_entries","instance_id","uuid","null","YES"
"auth","audit_log_entries","id","uuid","null","NO"
"auth","audit_log_entries","payload","json","null","YES"
"auth","audit_log_entries","created_at","timestamp with time zone","null","YES"
"auth","audit_log_entries","ip_address","character varying","''::character varying","NO"
"auth","flow_state","id","uuid","null","NO"
"auth","flow_state","user_id","uuid","null","YES"
"auth","flow_state","auth_code","text","null","NO"
"auth","flow_state","code_challenge_method","USER-DEFINED","null","NO"
"auth","flow_state","code_challenge","text","null","NO"
"auth","flow_state","provider_type","text","null","NO"
"auth","flow_state","provider_access_token","text","null","YES"
"auth","flow_state","provider_refresh_token","text","null","YES"
"auth","flow_state","created_at","timestamp with time zone","null","YES"
"auth","flow_state","updated_at","timestamp with time zone","null","YES"
"auth","flow_state","authentication_method","text","null","NO"
"auth","flow_state","auth_code_issued_at","timestamp with time zone","null","YES"
"auth","identities","provider_id","text","null","NO"
"auth","identities","user_id","uuid","null","NO"
"auth","identities","identity_data","jsonb","null","NO"
"auth","identities","provider","text","null","NO"
"auth","identities","last_sign_in_at","timestamp with time zone","null","YES"
"auth","identities","created_at","timestamp with time zone","null","YES"
"auth","identities","updated_at","timestamp with time zone","null","YES"
"auth","identities","email","text","null","YES"
"auth","identities","id","uuid","gen_random_uuid()","NO"
"auth","instances","id","uuid","null","NO"
"auth","instances","uuid","uuid","null","YES"
"auth","instances","raw_base_config","text","null","YES"
"auth","instances","created_at","timestamp with time zone","null","YES"
"auth","instances","updated_at","timestamp with time zone","null","YES"
"auth","mfa_amr_claims","session_id","uuid","null","NO"
"auth","mfa_amr_claims","created_at","timestamp with time zone","null","NO"
"auth","mfa_amr_claims","updated_at","timestamp with time zone","null","NO"
"auth","mfa_amr_claims","authentication_method","text","null","NO"
"auth","mfa_amr_claims","id","uuid","null","NO"
"auth","mfa_challenges","id","uuid","null","NO"
"auth","mfa_challenges","factor_id","uuid","null","NO"
"auth","mfa_challenges","created_at","timestamp with time zone","null","NO"
"auth","mfa_challenges","verified_at","timestamp with time zone","null","YES"
"auth","mfa_challenges","ip_address","inet","null","NO"
"auth","mfa_challenges","otp_code","text","null","YES"
"auth","mfa_challenges","web_authn_session_data","jsonb","null","YES"
"auth","mfa_factors","id","uuid","null","NO"
"auth","mfa_factors","user_id","uuid","null","NO"
"auth","mfa_factors","friendly_name","text","null","YES"
"auth","mfa_factors","factor_type","USER-DEFINED","null","NO"
"auth","mfa_factors","status","USER-DEFINED","null","NO"
"auth","mfa_factors","created_at","timestamp with time zone","null","NO"
"auth","mfa_factors","updated_at","timestamp with time zone","null","NO"
"auth","mfa_factors","secret","text","null","YES"
"auth","mfa_factors","phone","text","null","YES"
"auth","mfa_factors","last_challenged_at","timestamp with time zone","null","YES"
"auth","mfa_factors","web_authn_credential","jsonb","null","YES"
"auth","mfa_factors","web_authn_aaguid","uuid","null","YES"
"auth","one_time_tokens","id","uuid","null","NO"
"auth","one_time_tokens","user_id","uuid","null","NO"
"auth","one_time_tokens","token_type","USER-DEFINED","null","NO"
"auth","one_time_tokens","token_hash","text","null","NO"
"auth","one_time_tokens","relates_to","text","null","NO"
"auth","one_time_tokens","created_at","timestamp without time zone","now()","NO"
"auth","one_time_tokens","updated_at","timestamp without time zone","now()","NO"
"auth","refresh_tokens","instance_id","uuid","null","YES"
"auth","refresh_tokens","id","bigint","nextval('auth.refresh_tokens_id_seq'::regclass)","NO"
"auth","refresh_tokens","token","character varying","null","YES"
"auth","refresh_tokens","user_id","character varying","null","YES"
"auth","refresh_tokens","revoked","boolean","null","YES"
"auth","refresh_tokens","created_at","timestamp with time zone","null","YES"
"auth","refresh_tokens","updated_at","timestamp with time zone","null","YES"
"auth","refresh_tokens","parent","character varying","null","YES"
"auth","refresh_tokens","session_id","uuid","null","YES"
"auth","saml_providers","id","uuid","null","NO"
"auth","saml_providers","sso_provider_id","uuid","null","NO"
"auth","saml_providers","entity_id","text","null","NO"
"auth","saml_providers","metadata_xml","text","null","NO"
"auth","saml_providers","metadata_url","text","null","YES"
"auth","saml_providers","attribute_mapping","jsonb","null","YES"
"auth","saml_providers","created_at","timestamp with time zone","null","YES"
"auth","saml_providers","updated_at","timestamp with time zone","null","YES"
"auth","saml_providers","name_id_format","text","null","YES"
"auth","saml_relay_states","id","uuid","null","NO"
"auth","saml_relay_states","sso_provider_id","uuid","null","NO"
"auth","saml_relay_states","request_id","text","null","NO"
"auth","saml_relay_states","for_email","text","null","YES"
"auth","saml_relay_states","redirect_to","text","null","YES"
"auth","saml_relay_states","created_at","timestamp with time zone","null","YES"
"auth","saml_relay_states","updated_at","timestamp with time zone","null","YES"
"auth","saml_relay_states","flow_state_id","uuid","null","YES"
"auth","schema_migrations","version","character varying","null","NO"
"auth","sessions","id","uuid","null","NO"
"auth","sessions","user_id","uuid","null","NO"
"auth","sessions","created_at","timestamp with time zone","null","YES"
"auth","sessions","updated_at","timestamp with time zone","null","YES"
"auth","sessions","factor_id","uuid","null","YES"
"auth","sessions","aal","USER-DEFINED","null","YES"
"auth","sessions","not_after","timestamp with time zone","null","YES"
"auth","sessions","refreshed_at","timestamp without time zone","null","YES"
"auth","sessions","user_agent","text","null","YES"
"auth","sessions","ip","inet","null","YES"
"auth","sessions","tag","text","null","YES"
