"table_name","column_name","data_type","column_default","is_nullable"
"events","id","uuid","gen_random_uuid()","NO"
"events","title","text","null","NO"
"events","description","text","null","YES"
"events","date","timestamp with time zone","null","NO"
"events","location","text","null","YES"
"events","organizer_id","uuid","null","NO"
"events","status","text","'draft'::text","NO"
"events","created_at","timestamp with time zone","timezone('utc'::text, now())","NO"
"events","updated_at","timestamp with time zone","timezone('utc'::text, now())","NO"
"photos","id","uuid","gen_random_uuid()","NO"
"photos","event_id","uuid","null","NO"
"photos","uploaded_by","uuid","null","NO"
"photos","storage_path","text","null","NO"
"photos","thumbnail_path","text","null","YES"
"photos","metadata","jsonb","'{}'::jsonb","YES"
"photos","ai_tags","jsonb","'{}'::jsonb","YES"
"photos","status","text","'processing'::text","NO"
"photos","created_at","timestamp with time zone","timezone('utc'::text, now())","NO"
"photos","updated_at","timestamp with time zone","timezone('utc'::text, now())","NO"
"user_profiles","id","uuid","null","NO"
"user_profiles","email","text","null","NO"
"user_profiles","full_name","text","null","YES"
"user_profiles","avatar_url","text","null","YES"
"user_profiles","role","text","'user'::text","NO"
"user_profiles","created_at","timestamp with time zone","timezone('utc'::text, now())","NO"
"user_profiles","updated_at","timestamp with time zone","timezone('utc'::text, now())","NO"
