"table_schema","table_name","column_name","foreign_table_schema","foreign_table_name","foreign_column_name"
"auth","refresh_tokens","session_id","auth","sessions","id"
"public","events","organizer_id","public","user_profiles","id"
"public","photos","event_id","public","events","id"
"public","photos","uploaded_by","public","user_profiles","id"
"auth","saml_relay_states","flow_state_id","auth","flow_state","id"
"auth","saml_relay_states","sso_provider_id","auth","sso_providers","id"
"auth","sessions","user_id","auth","users","id"
"auth","sso_domains","sso_provider_id","auth","sso_providers","id"
"auth","mfa_amr_claims","session_id","auth","sessions","id"
"auth","saml_providers","sso_provider_id","auth","sso_providers","id"
"auth","identities","user_id","auth","users","id"
"auth","one_time_tokens","user_id","auth","users","id"
"auth","mfa_factors","user_id","auth","users","id"
"auth","mfa_challenges","factor_id","auth","mfa_factors","id"
